ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
0      90.000000     0.000000   {   3,    2,    6,    5,    4,   -1}, {( 52.626080, 252.000000), ( 52.626080, 180.000000), ( 52.626080, 108.000000), ( 52.626080,  36.000000), ( 52.626080, 324.000000), ( -1.000000,  -1.000000)} 
1     -90.000000    77.319617   {   8,    9,   10,   11,    7,   -1}, {(-52.626080, 288.000000), (-52.626080,   0.000000), (-52.626080,  72.000000), (-52.626080, 144.000000), (-52.626080, 216.000000), ( -1.000000,  -1.000000)} 
2      26.566231   216.000000   {   3,    8,    7,    6,    0,   -1}, {( 10.814597, 252.000000), (-10.814597, 216.000000), ( 10.814597, 180.000000), ( 52.626080, 180.000000), ( 52.626080, 252.000000), ( -1.000000,  -1.000000)} 
3      26.566231   288.000000   {   4,    9,    8,    2,    0,   -1}, {( 10.814597, 324.000000), (-10.814597, 288.000000), ( 10.814597, 252.000000), ( 52.626080, 252.000000), ( 52.626080, 324.000000), ( -1.000000,  -1.000000)} 
4      26.566231     0.000000   {   0,    5,   10,    9,    3,   -1}, {( 52.626080,  36.000000), ( 10.814597,  36.000000), (-10.814597,   0.000000), ( 10.814597, 324.000000), ( 52.626080, 324.000000), ( -1.000000,  -1.000000)} 
5      26.566231    72.000000   {   0,    6,   11,   10,    4,   -1}, {( 52.626080, 108.000000), ( 10.814597, 108.000000), (-10.814597,  72.000000), ( 10.814597,  36.000000), ( 52.626080,  36.000000), ( -1.000000,  -1.000000)} 
6      26.566231   144.000000   {   0,    2,    7,   11,    5,   -1}, {( 52.626080, 180.000000), ( 10.814597, 180.000000), (-10.814597, 144.000000), ( 10.814597, 108.000000), ( 52.626080, 108.000000), ( -1.000000,  -1.000000)} 
7     -26.566231   180.000000   {   2,    8,    1,   11,    6,   -1}, {(-10.814597, 216.000000), (-52.626080, 216.000000), (-52.626080, 144.000000), (-10.814597, 144.000000), ( 10.814597, 180.000000), ( -1.000000,  -1.000000)} 
8     -26.566231   252.000000   {   3,    9,    1,    7,    2,   -1}, {(-10.814597, 288.000000), (-52.626080, 288.000000), (-52.626080, 216.000000), (-10.814597, 216.000000), ( 10.814597, 252.000000), ( -1.000000,  -1.000000)} 
9     -26.566231   324.000000   {   4,   10,    1,    8,    3,   -1}, {(-10.814597,   0.000000), (-52.626080,   0.000000), (-52.626080, 288.000000), (-10.814597, 288.000000), ( 10.814597, 324.000000), ( -1.000000,  -1.000000)} 
10    -26.566231    36.000000   {   5,   11,    1,    9,    4,   -1}, {(-10.814597,  72.000000), (-52.626080,  72.000000), (-52.626080,   0.000000), (-10.814597,   0.000000), ( 10.814597,  36.000000), ( -1.000000,  -1.000000)} 
11    -26.566231   108.000000   {   6,    7,    1,   10,    5,   -1}, {(-10.814597, 144.000000), (-52.626080, 144.000000), (-52.626080,  72.000000), (-10.814597,  72.000000), ( 10.814597, 108.000000), ( -1.000000,  -1.000000)} 
