ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
0      26.570000     0.000000   {  10,    6,    1,    2,    7,   -1}, {( 40.088263,  13.341305), ( 20.096626,  17.708494), (  9.087292,   0.000000), ( 20.096626, 342.291506), ( 40.088263, 346.658695), ( -1.000000,  -1.000000)} 
1       0.000000    18.000000   {   6,    8,    4,    5,    2,    0}, {( 10.814161,  36.000000), (-10.814161,  36.000000), (-20.096626,  17.708494), ( -9.087292,   0.000000), (  9.087292,   0.000000), ( 20.096626,  17.708494)} 
2       0.000000   342.000000   {   0,    1,    5,   16,    9,    7}, {(  9.087292,   0.000000), ( -9.087292,   0.000000), (-20.096626, 342.291506), (-10.814161, 324.000000), ( 10.814161, 324.000000), ( 20.096626, 342.291506)} 
3     -26.570000    72.000000   {  19,   15,   11,    4,    8,   -1}, {(-20.096626,  89.708494), (-40.088263,  85.341305), (-40.088263,  58.658695), (-20.096626,  54.291506), ( -9.087292,  72.000000), ( -1.000000,  -1.000000)} 
4     -31.723007    36.000000   {   8,    3,   11,   12,    5,    1}, {(-20.096626,  54.291506), (-40.088263,  58.658695), (-52.626005,  36.000000), (-40.088263,  13.341305), (-20.096626,  17.708494), (-10.814161,  36.000000)} 
5     -26.570000     0.000000   {   1,    4,   12,   16,    2,   -1}, {(-20.096626,  17.708494), (-40.088263,  13.341305), (-40.088263, 346.658695), (-20.096626, 342.291506), ( -9.087292,   0.000000), ( -1.000000,  -1.000000)} 
6      31.723007    36.000000   {  17,   13,    8,    1,    0,   10}, {( 40.088263,  58.658695), ( 20.096626,  54.291506), ( 10.814161,  36.000000), ( 20.096626,  17.708494), ( 40.088263,  13.341305), ( 52.626005,  36.000000)} 
7      31.723007   324.000000   {  10,    0,    2,    9,   14,   18}, {( 40.088263, 346.658695), ( 20.096626, 342.291506), ( 10.814161, 324.000000), ( 20.096626, 305.708494), ( 40.088263, 301.341305), ( 52.626005, 324.000000)} 
8       0.000000    54.000000   {  13,   19,    3,    4,    1,    6}, {(  9.087292,  72.000000), ( -9.087292,  72.000000), (-20.096626,  54.291506), (-10.814161,  36.000000), ( 10.814161,  36.000000), ( 20.096626,  54.291506)} 
9       0.000000   306.000000   {   7,    2,   16,   28,   21,   14}, {( 10.814161, 324.000000), (-10.814161, 324.000000), (-20.096626, 305.708494), ( -9.087292, 288.000000), (  9.087292, 288.000000), ( 20.096626, 305.708494)} 
10     58.285000     0.000000   {  20,   17,    6,    0,    7,   18}, {( 72.521997,  36.000000), ( 52.626005,  36.000000), ( 40.088263,  13.341305), ( 40.088263, 346.658695), ( 52.626005, 324.000000), ( 72.521997, 324.000000)} 
