ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
0      90.000000   180.000000   {  43,   42,   46,   45,   44,   -1}, {( 82.433571, 252.000000), ( 82.433571, 180.000000), ( 82.433571, 108.000000), ( 82.433571,  36.000000), ( 82.433571, 324.000000), ( -1.000000,  -1.000000)} 
1     -90.000000   180.000000   {  48,   49,   50,   51,   47,   -1}, {(-82.433571, 288.000000), (-82.433571,   0.000000), (-82.433571,  72.000000), (-82.433571, 144.000000), (-82.433571, 216.000000), ( -1.000000,  -1.000000)} 
2      26.570000   216.000000   {  53,   56,   55,   54,   52,   -1}, {( 24.016282, 223.880215), ( 19.002001, 216.000000), ( 24.016282, 208.119785), ( 32.593645, 210.729108), ( 32.593645, 221.270892), ( -1.000000,  -1.000000)} 
3      26.570000   288.000000   {  59,   61,   60,   58,   57,   -1}, {( 24.016282, 295.880215), ( 19.002001, 288.000000), ( 24.016282, 280.119785), ( 32.593645, 282.729108), ( 32.593645, 293.270892), ( -1.000000,  -1.000000)} 
4      26.570000     0.000000   {  64,   66,   65,   63,   62,   -1}, {( 24.016282,   7.880215), ( 19.002001,   0.000000), ( 24.016282, 352.119785), ( 32.593645, 354.729108), ( 32.593645,   5.270892), ( -1.000000,  -1.000000)} 
5      26.570000    72.000000   {  69,   71,   70,   68,   67,   -1}, {( 24.016282,  79.880215), ( 19.002001,  72.000000), ( 24.016282,  64.119785), ( 32.593645,  66.729108), ( 32.593645,  77.270892), ( -1.000000,  -1.000000)} 
6      26.570000   144.000000   {  73,   75,   76,   74,   72,   -1}, {( 24.016282, 151.880215), ( 19.002001, 144.000000), ( 24.016282, 136.119785), ( 32.593645, 138.729108), ( 32.593645, 149.270892), ( -1.000000,  -1.000000)} 
7     -26.570000   180.000000   {  78,   80,   77,   81,   79,   -1}, {(-24.016282, 187.880215), (-32.593645, 185.270892), (-32.593645, 174.729108), (-24.016282, 172.119785), (-19.002001, 180.000000), ( -1.000000,  -1.000000)} 
8     -26.570000   252.000000   {  84,   86,   82,   85,   83,   -1}, {(-24.016282, 259.880215), (-32.593645, 257.270892), (-32.593645, 246.729108), (-24.016282, 244.119785), (-19.002001, 252.000000), ( -1.000000,  -1.000000)} 
9     -26.570000   324.000000   {  89,   91,   87,   90,   88,   -1}, {(-24.016282, 331.880215), (-32.593645, 329.270892), (-32.593645, 318.729108), (-24.016282, 316.119785), (-19.002001, 324.000000), ( -1.000000,  -1.000000)} 
10    -26.570000    36.000000   {  94,   96,   92,   95,   93,   -1}, {(-24.016282,  43.880215), (-32.593645,  41.270892), (-32.593645,  30.729108), (-24.016282,  28.119785), (-19.002001,  36.000000), ( -1.000000,  -1.000000)} 
11    -26.570000   108.000000   {  99,  100,   97,  101,   98,   -1}, {(-24.016282, 115.880215), (-32.593645, 113.270892), (-32.593645, 102.729108), (-24.016282, 100.119785), (-19.002001, 108.000000), ( -1.000000,  -1.000000)} 
12     58.285000   216.000000   { 102,  104,   52,  105,  103,   42}, {( 56.878579, 234.704698), ( 48.980751, 223.413729), ( 48.980751, 208.586271), ( 56.878579, 197.295302), ( 66.863227, 203.553616), ( 66.863227, 228.446384)} 
13     58.285000   288.000000   { 106,  108,   57,  107,  102,   43}, {( 56.878579, 306.704698), ( 48.980751, 295.413729), ( 48.980751, 280.586271), ( 56.878579, 269.295302), ( 66.863227, 275.553616), ( 66.863227, 300.446384)} 
14     58.285000     0.000000   { 109,  111,   62,  110,  106,   44}, {( 56.878579,  18.704698), ( 48.980751,   7.413729), ( 48.980751, 352.586271), ( 56.878579, 341.295302), ( 66.863227, 347.553616), ( 66.863227,  12.446384)} 
15     58.285000    72.000000   { 112,  114,   67,  113,  109,   45}, {( 56.878579,  90.704698), ( 48.980751,  79.413729), ( 48.980751,  64.586271), ( 56.878579,  53.295302), ( 66.863227,  59.553616), ( 66.863227,  84.446384)} 
16     58.285000   144.000000   { 103,  115,   72,  116,  112,   46}, {( 56.878579, 162.704698), ( 48.980751, 151.413729), ( 48.980751, 136.586271), ( 56.878579, 125.295302), ( 66.863227, 131.553616), ( 66.863227, 156.446384)} 
17    -58.285000   180.000000   { 119,  117,   47,  118,  120,   77}, {(-56.878579, 198.704698), (-66.863227, 192.446384), (-66.863227, 167.553616), (-56.878579, 161.295302), (-48.980751, 172.586271), (-48.980751, 187.413729)} 
18    -58.285000   252.000000   { 123,  121,   48,  117,  122,   82}, {(-56.878579, 270.704698), (-66.863227, 264.446384), (-66.863227, 239.553616), (-56.878579, 233.295302), (-48.980751, 244.586271), (-48.980751, 259.413729)} 
19    -58.285000   324.000000   { 126,  124,   49,  121,  125,   87}, {(-56.878579, 342.704698), (-66.863227, 336.446384), (-66.863227, 311.553616), (-56.878579, 305.295302), (-48.980751, 316.586271), (-48.980751, 331.413729)} 
20    -58.285000    36.000000   { 129,  127,   50,  124,  128,   92}, {(-56.878579,  54.704698), (-66.863227,  48.446384), (-66.863227,  23.553616), (-56.878579,  17.295302), (-48.980751,  28.586271), (-48.980751,  43.413729)} 
21    -58.285000   108.000000   { 130,  118,   51,  127,  131,   97}, {(-56.878579, 126.704698), (-66.863227, 120.446384), (-66.863227,  95.553616), (-56.878579,  89.295302), (-48.980751, 100.586271), (-48.980751, 115.413729)} 
22     31.723007   252.000000   { 107,   58,  133,  132,   53,  104}, {( 36.115262, 263.207864), ( 26.444451, 262.100236), ( 21.628872, 252.000000), ( 26.444451, 241.899764), ( 36.115262, 240.792136), ( 41.814943, 252.000000)} 
23     31.723007   180.000000   { 105,   54,  134,  135,   73,  115}, {( 36.115262, 191.207864), ( 26.444451, 190.100236), ( 21.628872, 180.000000), ( 26.444451, 169.899764), ( 36.115262, 168.792136), ( 41.814943, 180.000000)} 
24      0.000000   198.000000   {  55,  136,  138,   78,  137,  134}, {(  5.110087, 206.929237), ( -5.287353, 206.610001), (-10.261345, 197.387968), ( -5.110087, 189.070763), (  5.287353, 189.389999), ( 10.261345, 198.612032)} 
25      0.000000   234.000000   { 132,  139,   83,  140,  136,   56}, {(  5.287353, 242.610001), ( -5.110087, 242.929237), (-10.261345, 234.612032), ( -5.287353, 225.389999), (  5.110087, 225.070763), ( 10.261345, 233.387968)} 
26     31.723007   324.000000   { 110,   63,  142,  141,   59,  108}, {( 36.115262, 335.207864), ( 26.444451, 334.100236), ( 21.628872, 324.000000), ( 26.444451, 313.899764), ( 36.115262, 312.792136), ( 41.814943, 324.000000)} 
27      0.000000   270.000000   {  60,  143,  144,   84,  139,  133}, {(  5.110087, 278.929237), ( -5.287353, 278.610001), (-10.261345, 269.387968), ( -5.110087, 261.070763), (  5.287353, 261.389999), ( 10.261345, 270.612032)} 
28      0.000000   306.000000   { 141,  145,   88,  146,  143,   61}, {(  5.287353, 314.610001), ( -5.110087, 314.929237), (-10.261345, 306.612032), ( -5.287353, 297.389999), (  5.110087, 297.070763), ( 10.261345, 305.387968)} 
29     31.723007    36.000000   { 113,   68,  148,  147,   64,  111}, {( 36.115262,  47.207864), ( 26.444451,  46.100236), ( 21.628872,  36.000000), ( 26.444451,  25.899764), ( 36.115262,  24.792136), ( 41.814943,  36.000000)} 
