ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
0       90.0000000  180.0000000 {  163,  164,  165,  166,  162,   -1}, {(  86.3766772,  108.0000000), (  86.3766772,  36.0000000), (  86.3766772,  324.0000000), (  86.3766772,  252.0000000), (  86.3766772,  180.0000000), ( -1.0000000, -1.0000000)} 
1      -90.0000000  180.0000000 {  168,  169,  170,  171,  167,   -1}, {( -86.3766772,  72.0000000), ( -86.3766772,  144.0000000), ( -86.3766772,  216.0000000), ( -86.3766772,  288.0000000), ( -86.3766772,  0.0000000), ( -1.0000000, -1.0000000)} 
2       26.5650512  216.0000000 {  174,  175,  172,  176,  173,   -1}, {(  25.3947587,  212.1851547), (  29.4753632,  213.5545111), (  29.4753632,  218.4454889), (  25.3947587,  219.8148453), (  22.9417284,  216.0000000), ( -1.0000000, -1.0000000)} 
3       26.5650512  288.0000000 {  180,  178,  177,  181,  179,   -1}, {(  25.3947587,  284.1851547), (  29.4753632,  285.5545111), (  29.4753632,  290.4454889), (  25.3947587,  291.8148453), (  22.9417284,  288.0000000), ( -1.0000000, -1.0000000)} 
4       26.5650512    0.0000000 {  185,  183,  182,  186,  184,   -1}, {(  25.3947587,  356.1851547), (  29.4753632,  357.5545111), (  29.4753632,  2.4454889), (  25.3947587,  3.8148453), (  22.9417284,  0.0000000), ( -1.0000000, -1.0000000)} 
5       26.5650512   72.0000000 {  190,  188,  187,  191,  189,   -1}, {(  25.3947587,  68.1851547), (  29.4753632,  69.5545111), (  29.4753632,  74.4454889), (  25.3947587,  75.8148453), (  22.9417284,  72.0000000), ( -1.0000000, -1.0000000)} 
6       26.5650512  144.0000000 {  196,  194,  192,  193,  195,   -1}, {(  25.3947587,  140.1851547), (  29.4753632,  141.5545111), (  29.4753632,  146.4454889), (  25.3947587,  147.8148453), (  22.9417284,  144.0000000), ( -1.0000000, -1.0000000)} 
7      -26.5650512  180.0000000 {  201,  199,  198,  200,  197,   -1}, {( -25.3947587,  176.1851547), ( -22.9417284,  180.0000000), ( -25.3947587,  183.8148453), ( -29.4753632,  182.4454889), ( -29.4753632,  177.5545111), ( -1.0000000, -1.0000000)} 
8      -26.5650512  252.0000000 {  205,  203,  204,  206,  202,   -1}, {( -25.3947587,  248.1851547), ( -22.9417284,  252.0000000), ( -25.3947587,  255.8148453), ( -29.4753632,  254.4454889), ( -29.4753632,  249.5545111), ( -1.0000000, -1.0000000)} 
9      -26.5650512  324.0000000 {  210,  208,  209,  211,  207,   -1}, {( -25.3947587,  320.1851547), ( -22.9417284,  324.0000000), ( -25.3947587,  327.8148453), ( -29.4753632,  326.4454889), ( -29.4753632,  321.5545111), ( -1.0000000, -1.0000000)} 
10     -26.5650512   36.0000000 {  215,  213,  214,  216,  212,   -1}, {( -25.3947587,  32.1851547), ( -22.9417284,  36.0000000), ( -25.3947587,  39.8148453), ( -29.4753632,  38.4454889), ( -29.4753632,  33.5545111), ( -1.0000000, -1.0000000)} 
11     -26.5650512  108.0000000 {  221,  218,  219,  220,  217,   -1}, {( -25.3947587,  104.1851547), ( -22.9417284,  108.0000000), ( -25.3947587,  111.8148453), ( -29.4753632,  110.4454889), ( -29.4753632,  105.5545111), ( -1.0000000, -1.0000000)} 
