ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
0       90.0000000  180.0000000 { 2563, 2564, 2565, 2566, 2562,   -1}, {(  89.2577105,  108.0000000), (  89.2577105,  36.0000000), (  89.2577105,  324.0000000), (  89.2577105,  252.0000000), (  89.2577105,  180.0000000), ( -1.0000000, -1.0000000)} 
1      -90.0000000  180.0000000 { 2568, 2569, 2570, 2571, 2567,   -1}, {( -89.2577105,  72.0000001), ( -89.2577105,  144.0000001), ( -89.2577105,  215.9999999), ( -89.2577105,  288.0000000), ( -89.2577105,  0.0000000), ( -1.0000000, -1.0000000)} 
2       26.5650512  216.0000000 { 2574, 2575, 2572, 2576, 2573,   -1}, {(  26.3335067,  215.2122960), (  27.1647351,  215.5096087), (  27.1647351,  216.4903913), (  26.3335067,  216.7877040), (  25.8227617,  216.0000000), ( -1.0000000, -1.0000000)} 
3       26.5650512  288.0000000 { 2580, 2578, 2577, 2581, 2579,   -1}, {(  26.3335067,  287.2122960), (  27.1647351,  287.5096087), (  27.1647351,  288.4903913), (  26.3335067,  288.7877040), (  25.8227617,  288.0000000), ( -1.0000000, -1.0000000)} 
4       26.5650512    0.0000000 { 2585, 2583, 2582, 2586, 2584,   -1}, {(  26.3335067,  359.2122960), (  27.1647351,  359.5096087), (  27.1647351,  0.4903913), (  26.3335067,  0.7877040), (  25.8227617,  0.0000000), ( -1.0000000, -1.0000000)} 
5       26.5650512   72.0000000 { 2590, 2588, 2587, 2591, 2589,   -1}, {(  26.3335067,  71.2122960), (  27.1647351,  71.5096087), (  27.1647351,  72.4903913), (  26.3335067,  72.7877040), (  25.8227617,  72.0000000), ( -1.0000000, -1.0000000)} 
6       26.5650512  144.0000000 { 2596, 2594, 2592, 2593, 2595,   -1}, {(  26.3335067,  143.2122960), (  27.1647351,  143.5096087), (  27.1647351,  144.4903913), (  26.3335067,  144.7877040), (  25.8227617,  144.0000000), ( -1.0000000, -1.0000000)} 
7      -26.5650512  180.0000000 { 2601, 2599, 2598, 2600, 2597,   -1}, {( -26.3335067,  179.2122960), ( -25.8227617,  180.0000000), ( -26.3335067,  180.7877040), ( -27.1647351,  180.4903913), ( -27.1647351,  179.5096087), ( -1.0000000, -1.0000000)} 
8      -26.5650512  252.0000000 { 2605, 2603, 2604, 2606, 2602,   -1}, {( -26.3335067,  251.2122960), ( -25.8227617,  252.0000000), ( -26.3335067,  252.7877040), ( -27.1647351,  252.4903913), ( -27.1647351,  251.5096087), ( -1.0000000, -1.0000000)} 
9      -26.5650512  324.0000000 { 2610, 2608, 2609, 2611, 2607,   -1}, {( -26.3335067,  323.2122960), ( -25.8227617,  324.0000000), ( -26.3335067,  324.7877040), ( -27.1647351,  324.4903913), ( -27.1647351,  323.5096087), ( -1.0000000, -1.0000000)} 
10     -26.5650512   36.0000000 { 2615, 2613, 2614, 2616, 2612,   -1}, {( -26.3335067,  35.2122960), ( -25.8227617,  36.0000000), ( -26.3335067,  36.7877040), ( -27.1647351,  36.4903913), ( -27.1647351,  35.5096087), ( -1.0000000, -1.0000000)} 
